15/02/2022,Midway_00_,,,15/02/2022,Midway_11_,
Day 1,male,Female,,Day 1,male,Female
1,10,10,,1,10,10
2,10,10,,2,10,10
3,10,10,,3,10,10
4,10,10,,4,10,10
5,10,10,,5,10,10
6,10,10,,6,10,10
7,10,10,,7,10,10
8,10,10,,8,10,10
9,10,10,,9,10,10
10,10,10,,10,10,10
,100,100,,,100,100
,,,,,,
19/02/2022,Midway_00_,,,19/02/2022,Midway_11_,
Day 4,male,Female,,Day 4,male,Female
1,10,10,,1,10,10
2,9,10,,2,10,10
3,10,10,,3,10,10
4,10,10,,4,10,10
5,10,10,,5,9,10
6,10,10,,6,10,10
7,10,10,,7,10,10
8,9,10,,8,10,10
9,10,10,,9,10,10
10,10,10,,10,10,10
,98,100,,,99,100
,,,,,,
23/02/2022,Midway_00_,,,23/02/2022,Midway_11_,
Day 8,male,Female,,Day 8,male,Female
1,10,10,,1,9,10
2,9,10,,2,10,10
3,10,10,,3,10,10
4,10,10,,4,10,10
5,9,10,,5,9,8
6,10,10,,6,10,10
7,10,10,,7,9,10
8,8,10,,8,10,10
9,9,10,,9,10,10
10,10,10,,10,10,10
,95,100,,,97,98
,,,,,,
27/02/2022,Midway_00_,,,27/02/2022,Midway_11_,
Day 12,male,Female,,Day 12,male,Female
1,10,10,,1,9,10
2,9,9,,2,10,10
3,10,10,,3,10,10
4,10,10,,4,10,10
5,9,10,,5,9,8
6,10,9,,6,10,10
7,10,10,,7,9,10
8,8,10,,8,10,10
9,9,10,,9,10,9
10,10,9,,10,10,10
,95,97,,,97,97
,,,,,,
03/03/2022,Midway_00_,,,03/03/2022,Midway_11_,
Day 16,male,Female,,Day 16,male,Female
1,10,10,,1,9,10
2,8,9,,2,9,10
3,10,10,,3,10,10
4,10,10,,4,8,10
5,9,10,,5,9,8
6,10,9,,6,10,10
7,10,10,,7,9,10
8,8,10,,8,10,10
9,9,10,,9,9,9
10,9,9,,10,10,10
,93,97,,,93,97
,,,,,,
08/03/2022,Midway_00_,,,08/03/2022,Midway_11_,
Day 20,male,Female,,Day 20,male,Female
1,10,10,,1,8,10
2,7,9,,2,9,10
3,10,10,,3,10,10
4,10,10,,4,7,10
5,8,10,,5,8,8
6,10,9,,6,10,10
7,9,10,,7,9,10
8,8,9,,8,9,10
9,9,10,,9,9,9
10,8,9,,10,10,9
,89,96,,,89,96
,,,,,,
11/03/2022,Midway_00_,,,11/03/2022,Midway_11_,
Day24,male,Female,,Day 24,male,Female
1,10,10,,1,8,9
2,7,9,,2,8,9
3,10,10,,3,10,10
4,9,10,,4,7,10
5,7,10,,5,8,8
6,8,9,,6,10,9
7,9,10,,7,9,10
8,8,9,,8,8,10
9,9,9,,9,9,9
10,8,9,,10,10,8
,85,95,,,87,92
,,,,,,
15/03/2022,Midway_00_,,,15/03/2022,Midway_11_,
Day 28,male,Female,,Day 28,male,Female
1,10,10,,1,8,9
2,7,9,,2,8,9
3,10,10,,3,9,9
4,9,10,,4,6,9
5,7,9,,5,8,8
6,7,8,,6,10,9
7,9,10,,7,9,10
8,8,8,,8,8,10
9,8,8,,9,8,9
10,8,9,,10,9,8
,83,91,,,83,90
,,,,,,
18/03/2022,Midway_00_,,,18/03/2022,Midway_11_,
Day 32,male,Female,,Day 32,male,Female
1,10,10,,1,8,9
2,7,9,,2,8,9
3,10,10,,3,9,9
4,8,10,,4,6,9
5,7,9,,5,8,8
6,7,8,,6,10,9
7,8,10,,7,9,9
8,8,8,,8,8,9
9,8,8,,9,8,9
10,7,9,,10,8,8
,80,91,,,82,88
,,,,,,
22/03/2022,Midway_00_,,,22/03/2022,Midway_11_,
Day 36,male,Female,,Day 36,male,Female
1,7,10,,1,8,8
2,6,8,,2,8,9
3,9,10,,3,8,9
4,6,10,,4,5,7
5,6,9,,5,7,8
6,6,7,,6,10,9
7,8,10,,7,9,9
8,8,7,,8,8,9
9,8,8,,9,8,9
10,5,6,,10,7,8
,69,85,,,78,85
,,,,,,
25/03/2022,Midway_00_,,,25/03/2022,Midway_11_,
Day 40,male,Female,,Day 40,male,Female
1,7,9,,1,8,8
2,3,6,,2,7,8
3,8,10,,3,8,9
4,5,10,,4,4,7
5,6,9,,5,7,8
6,5,6,,6,9,9
7,7,9,,7,9,9
8,8,6,,8,7,9
9,7,7,,9,7,9
10,3,6,,10,6,7
,59,78,,,72,83
,,,,,,
29/03/2022,Midway_00_,,,29/03/2022,Midway_11_,
Day 44,male,Female,,Day 44,male,Female
1,4,6,,1,7,8
2,1,3,,2,6,8
3,6,6,,3,8,7
4,3,4,,4,3,6
5,3,4,,5,5,7
6,5,6,,6,7,9
7,4,6,,7,8,8
8,3,3,,8,6,7
9,5,5,,9,7,9
10,3,3,,10,6,7
,37,46,,,63,76
,,,,,,
01/04/2022,Midway_00_,,,01/04/2022,Midway_11_,
Day 48,male,Female,,Day 48,male,Female
1,3,2,,1,4,4
2,0,1,,2,5,8
3,5,3,,3,8,7
4,2,2,,4,3,1
5,2,3,,5,3,4
6,3,2,,6,2,3
7,3,6,,7,4,4
8,2,2,,8,3,3
9,2,4,,9,5,6
10,2,1,,10,6,6
,24,26,,,43,46
,,,,,,
05/04/2022,Midway_00_,,,05/04/2022,Midway_11_,
Day 52,male,Female,,Day 52,male,Female
1,3,1,,1,3,1
2,0,0,,2,5,3
3,0,2,,3,2,3
4,1,0,,4,3,1
5,1,0,,5,2,3
6,1,1,,6,1,2
7,1,5,,7,1,2
8,0,2,,8,1,3
9,0,1,,9,3,5
10,0,1,,10,3,6
,7,13,,,24,29
,,,,,,
08/04/2022,Midway_00_,,,08/04/2022,Midway_11_,
Day 56,male,Female,,Day 56,male,Female
1,3,1,,1,3,1
2,0,0,,2,3,2
3,0,1,,3,1,3
4,1,0,,4,1,0
5,1,0,,5,2,3
6,1,1,,6,0,0
7,0,4,,7,0,1
8,0,1,,8,1,3
9,0,1,,9,3,4
10,0,1,,10,1,5
,6,10,,,15,22
,,,,,,
12/04/2022,Midway_00_,,,12/04/2022,Midway_11_,
Day 60,male,Female,,Day 60,male,Female
1,2,1,,1,1,1
2,0,0,,2,0,1
3,0,1,,3,0,2
4,0,0,,4,1,0
5,0,0,,5,1,1
6,0,1,,6,0,0
7,0,1,,7,0,1
8,0,1,,8,1,1
9,0,1,,9,1,2
10,0,0,,10,1,1
,2,6,,,6,10
,,,,,,
15/04/2022,Midway_00_,,,15/04/2022,Midway_11_,
Day 64,male,Female,,Day 64,male,Female
1,1,0,,1,0,0
2,0,0,,2,0,1
3,0,1,,3,0,1
4,0,0,,4,0,0
5,0,0,,5,0,0
6,0,1,,6,0,0
7,0,1,,7,0,1
8,0,0,,8,0,1
9,0,1,,9,0,1
10,0,0,,10,0,1
,1,4,,,0,6
,,,,,,
19/04/2022,Midway_00_,,,19/04/2022,Midway_11_,
Day 68,male,Female,,Day 68,male,Female
1,0,0,,1,0,0
2,0,0,,2,0,1
3,0,0,,3,0,1
4,0,0,,4,0,0
5,0,0,,5,0,0
6,0,0,,6,0,0
7,0,0,,7,0,1
8,0,0,,8,0,0
9,0,0,,9,0,1
10,0,0,,10,0,0
,0,0,,,0,4
,,,,,,
22/04/2022,Midway_00_,,,22/04/2022,Midway_11_,
Day 72,male,Female,,Day 72,male,Female
1,0,0,,1,0,0
2,0,0,,2,0,0
3,0,0,,3,0,1
4,0,0,,4,0,0
5,0,0,,5,0,0
6,0,0,,6,0,0
7,0,0,,7,0,1
8,0,0,,8,0,0
9,0,0,,9,0,1
10,0,0,,10,0,0
,0,0,,,0,3
,,,,,,
26/04/2022,Midway_00_,,,26/04/2022,Midway_11_,
Day 72,male,Female,,Day 72,male,Female
1,0,0,,1,0,0
2,0,0,,2,0,0
3,0,0,,3,0,0
4,0,0,,4,0,0
5,0,0,,5,0,0
6,0,0,,6,0,0
7,0,0,,7,0,0
8,0,0,,8,0,0
9,0,0,,9,0,1
10,0,0,,10,0,0
,0,0,,,0,3
